Name,Branch,Pass-out Year,Gender,Skills_1,Skills_2,Skills_3,Interests_1,Interests_2,Interests_3,Hobbies_1,Hobbies_2,Hobbies_3,10th Marks,12th Marks/Diploma Marks,Study Goals,Dream Companies,Currently Working On,Spoken Languages_1,Spoken Languages_2,Spoken Languages_3
Student_1,Information Technology,2027,Male,C++,Node.js,Java,Coding,Drawing,Data Science,Cricket,Reading,Singing,72,87,Entrepreneurship,EPAM,Internship,English,Tamil,Telugu
Student_2,Civil,2027,Female,Java,CSS,SQL,Sports,Coding,Gaming,Yoga,Reading,Painting,81,67,Good Job Placement,Wipro,Final Year Project,Tamil,English,Bengali
Student_3,Electronics,2025,Male,Java,Node.js,Python,Machine Learning,UI/UX Design,Sports,Gardening,Cricket,Football,78,90,Entrepreneurship,Wipro,Personal Project,Hindi,Marathi,Bengali
Student_4,Civil,2024,Female,React,JavaScript,Java,Coding,UI/UX Design,Machine Learning,Cricket,Reading,Singing,77,98,Good Job Placement,Infosys,Final Year Project,Bengali,Marathi,English
Student_5,Electronics,2024,Male,DBMS,React,C++,Drawing,Music,Gaming,Singing,Reading,Yoga,82,86,Good Job Placement,Microsoft,Personal Project,English,Marathi,Hindi
Student_6,Electronics,2026,Female,C++,CSS,Python,UI/UX Design,Music,Drawing,Painting,Football,Gardening,97,82,Entrepreneurship,Amazon,Internship,Marathi,Telugu,Bengali
Student_7,Mechanical,2026,Male,Node.js,React,SQL,Gaming,Coding,Drawing,Painting,Gardening,Football,89,70,Entrepreneurship,LTI Mindtree,Personal Project,Bengali,English,Tamil
Student_8,Information Technology,2023,Female,CSS,Python,DBMS,Data Science,UI/UX Design,Coding,Cricket,Yoga,Painting,97,65,Entrepreneurship,Microsoft,Final Year Project,Tamil,Hindi,English
Student_9,Computer Science,2026,Female,HTML,Python,CSS,Sports,Music,Machine Learning,Reading,Yoga,Cricket,98,67,Entrepreneurship,Infosys,Final Year Project,Telugu,Hindi,Marathi
Student_10,Mechanical,2024,Non-binary,SQL,CSS,Python,Coding,Music,UI/UX Design,Singing,Reading,Football,72,88,Entrepreneurship,Wipro,Final Year Project,Marathi,Tamil,Bengali
Student_11,Electronics,2025,Non-binary,React,JavaScript,Python,Music,Drawing,UI/UX Design,Yoga,Football,Dancing,96,70,Entrepreneurship,LTI Mindtree,Personal Project,Marathi,Telugu,Tamil
Student_12,Information Technology,2027,Male,React,Java,CSS,Gaming,Sports,UI/UX Design,Football,Dancing,Cricket,71,96,Higher Studies,TCS,Final Year Project,Hindi,Bengali,Telugu
Student_13,Mechanical,2024,Female,JavaScript,CSS,HTML,Data Science,Drawing,UI/UX Design,Dancing,Painting,Yoga,78,98,Entrepreneurship,Amazon,Internship,Marathi,Telugu,Tamil
Student_14,Electronics,2023,Female,Python,DBMS,C++,Data Science,Gaming,Coding,Reading,Football,Cricket,97,89,Higher Studies,EPAM,Final Year Project,Telugu,Marathi,English
Student_15,Computer Science,2027,Female,JavaScript,HTML,DBMS,Coding,Music,Drawing,Reading,Painting,Singing,77,72,Entrepreneurship,Infosys,Personal Project,Hindi,English,Marathi
Student_16,Mechanical,2027,Non-binary,SQL,DBMS,Node.js,Data Science,Sports,UI/UX Design,Painting,Singing,Yoga,84,98,Entrepreneurship,Wipro,Internship,Marathi,Hindi,Tamil
Student_17,Computer Science,2025,Male,React,HTML,Python,UI/UX Design,Gaming,Sports,Reading,Cricket,Painting,71,86,Entrepreneurship,Infosys,Personal Project,English,Hindi,Tamil
Student_18,Civil,2024,Male,JavaScript,Python,CSS,Sports,UI/UX Design,Data Science,Singing,Painting,Cricket,72,81,Good Job Placement,Infosys,Personal Project,Tamil,Marathi,Telugu
Student_19,Mechanical,2026,Non-binary,DBMS,Node.js,Java,UI/UX Design,Machine Learning,Coding,Dancing,Football,Gardening,97,74,Good Job Placement,Google,Final Year Project,Bengali,English,Telugu
Student_20,Computer Science,2026,Non-binary,Java,Node.js,Python,Drawing,Music,Gaming,Yoga,Painting,Football,99,65,Entrepreneurship,TCS,Internship,Tamil,Bengali,English
Student_21,Civil,2026,Male,HTML,Java,JavaScript,Music,Machine Learning,Data Science,Cricket,Reading,Gardening,89,65,Higher Studies,Infosys,Final Year Project,English,Bengali,Telugu
Student_22,Electronics,2023,Male,DBMS,C++,JavaScript,Data Science,Machine Learning,Sports,Cricket,Singing,Reading,86,74,Higher Studies,Wipro,Final Year Project,Tamil,Hindi,English
Student_23,Civil,2026,Male,C++,React,DBMS,Gaming,Sports,Music,Football,Cricket,Singing,71,79,Entrepreneurship,Amazon,Final Year Project,Bengali,Marathi,English
Student_24,Computer Science,2025,Female,React,Python,HTML,Gaming,Coding,Drawing,Painting,Cricket,Gardening,90,73,Good Job Placement,EPAM,Personal Project,Telugu,Marathi,Tamil
Student_25,Computer Science,2023,Male,CSS,JavaScript,Python,Data Science,Music,Machine Learning,Football,Painting,Gardening,75,100,Higher Studies,Wipro,Final Year Project,Marathi,Hindi,Tamil
Student_26,Civil,2027,Male,Java,DBMS,SQL,Gaming,Drawing,UI/UX Design,Painting,Singing,Gardening,90,76,Entrepreneurship,TCS,Personal Project,Tamil,Bengali,Marathi
Student_27,Information Technology,2026,Female,C++,React,DBMS,Gaming,Coding,UI/UX Design,Reading,Football,Painting,64,79,Good Job Placement,Google,Final Year Project,Hindi,Marathi,Bengali
Student_28,Electronics,2023,Male,Python,SQL,C++,Sports,Coding,Drawing,Football,Dancing,Gardening,64,94,Higher Studies,Infosys,Final Year Project,English,Bengali,Telugu
Student_29,Electronics,2025,Male,C++,React,JavaScript,Data Science,Sports,Coding,Dancing,Cricket,Singing,94,82,Good Job Placement,Amazon,Final Year Project,Marathi,Tamil,Hindi
Student_30,Civil,2026,Male,SQL,Java,C++,Music,Data Science,Drawing,Football,Cricket,Singing,86,90,Good Job Placement,Google,Final Year Project,Tamil,Telugu,Marathi
Student_31,Information Technology,2026,Non-binary,Node.js,DBMS,HTML,Machine Learning,Music,Sports,Reading,Football,Singing,95,64,Higher Studies,TCS,Personal Project,Telugu,Bengali,Tamil
Student_32,Information Technology,2024,Female,SQL,React,Java,Coding,Data Science,Machine Learning,Gardening,Cricket,Football,70,75,Higher Studies,Amazon,Personal Project,Telugu,Tamil,Marathi
Student_33,Electronics,2026,Male,JavaScript,React,C++,Sports,Machine Learning,Coding,Reading,Cricket,Yoga,81,98,Good Job Placement,TCS,Internship,Telugu,Bengali,English
Student_34,Civil,2023,Female,Python,HTML,React,Gaming,Music,Drawing,Painting,Football,Cricket,85,86,Higher Studies,Google,Personal Project,English,Bengali,Telugu
Student_35,Information Technology,2025,Male,Python,HTML,Java,Music,Coding,Sports,Singing,Yoga,Dancing,78,87,Good Job Placement,Microsoft,Final Year Project,Hindi,English,Tamil
Student_36,Civil,2025,Non-binary,C++,Node.js,React,Drawing,Music,Sports,Reading,Painting,Gardening,92,88,Good Job Placement,TCS,Final Year Project,Bengali,Tamil,Telugu
Student_37,Civil,2026,Non-binary,SQL,Node.js,Java,Data Science,Drawing,Music,Reading,Gardening,Painting,75,69,Good Job Placement,EPAM,Final Year Project,Tamil,Bengali,Telugu
Student_38,Electronics,2023,Female,Python,Node.js,C++,Drawing,Coding,UI/UX Design,Dancing,Football,Yoga,69,66,Good Job Placement,EPAM,Internship,Tamil,Bengali,Hindi
Student_39,Computer Science,2025,Female,React,C++,SQL,Machine Learning,Sports,Drawing,Painting,Gardening,Singing,63,81,Entrepreneurship,EPAM,Final Year Project,Hindi,Telugu,Tamil
Student_40,Electronics,2023,Male,React,Node.js,Python,Gaming,Machine Learning,Sports,Gardening,Football,Painting,85,62,Good Job Placement,Microsoft,Internship,Bengali,Telugu,Hindi
Student_41,Civil,2025,Male,JavaScript,Python,CSS,UI/UX Design,Drawing,Coding,Dancing,Singing,Football,68,89,Higher Studies,Amazon,Final Year Project,Marathi,Bengali,Tamil
Student_42,Information Technology,2026,Female,Python,HTML,CSS,Sports,Drawing,Machine Learning,Painting,Cricket,Yoga,100,61,Good Job Placement,Wipro,Personal Project,Telugu,Tamil,Marathi
Student_43,Information Technology,2024,Non-binary,Node.js,Python,SQL,Music,Data Science,Drawing,Dancing,Reading,Football,63,93,Higher Studies,Google,Internship,English,Hindi,Bengali
Student_44,Civil,2027,Female,DBMS,JavaScript,React,Coding,Music,Gaming,Yoga,Cricket,Football,66,73,Higher Studies,LTI Mindtree,Personal Project,Telugu,English,Tamil
Student_45,Civil,2026,Female,Java,SQL,Python,Drawing,UI/UX Design,Coding,Singing,Cricket,Painting,97,68,Entrepreneurship,Amazon,Internship,Bengali,Hindi,Marathi
Student_46,Civil,2026,Non-binary,JavaScript,Node.js,C++,UI/UX Design,Sports,Drawing,Gardening,Football,Dancing,85,98,Entrepreneurship,Amazon,Internship,Tamil,English,Bengali
Student_47,Electronics,2023,Female,Java,SQL,CSS,Drawing,Machine Learning,Gaming,Dancing,Football,Gardening,97,73,Entrepreneurship,Wipro,Personal Project,Telugu,English,Bengali
Student_48,Information Technology,2024,Non-binary,JavaScript,Java,React,Music,Machine Learning,UI/UX Design,Painting,Singing,Dancing,72,88,Entrepreneurship,LTI Mindtree,Final Year Project,Hindi,Marathi,Telugu
Student_49,Mechanical,2026,Female,DBMS,CSS,Java,Machine Learning,Music,UI/UX Design,Singing,Painting,Reading,93,66,Entrepreneurship,Infosys,Final Year Project,Tamil,English,Telugu
Student_50,Mechanical,2027,Female,Node.js,HTML,CSS,Machine Learning,Music,Sports,Singing,Gardening,Cricket,97,98,Good Job Placement,Wipro,Final Year Project,Bengali,Tamil,Hindi
